iter	Passed	Remaining
574	31554	23322
575	31606	23266
576	31658	23209
577	31714	23154
578	31772	23101
579	31818	23041
580	31864	22979
581	31914	22921
582	31972	22869
583	32020	22809
584	32073	22752
585	32123	22694
586	32181	22642
587	32233	22585
588	32291	22532
589	32347	22478
590	32404	22425
591	32466	22375
592	32516	22317
593	32568	22260
594	32618	22202
595	32686	22156
596	32737	22099
597	32790	22043
598	32839	21984
599	32898	21932
600	32957	21880
601	33015	21827
602	33063	21768
603	33120	21715
604	33174	21659
605	33230	21605
606	33280	21547
607	33334	21491
608	33382	21432
609	33433	21375
610	33477	21313
611	33536	21261
612	33587	21204
613	33638	21147
614	33690	21090
615	33741	21033
616	33794	20977
617	33845	20920
618	33893	20861
619	33931	20796
620	33989	20743
621	34038	20685
622	34076	20621
623	34130	20565
624	34188	20513
625	34241	20457
626	34291	20399
627	34341	20342
628	34399	20289
629	34454	20235
630	34513	20182
631	34568	20128
632	34624	20074
633	34687	20024
634	34741	19969
635	34798	19916
636	34849	19859
637	34898	19801
638	34959	19750
639	35014	19695
640	35064	19638
641	35120	19584
642	35179	19532
643	35236	19478
644	35289	19422
645	35333	19362
646	35386	19306
647	35448	19255
648	35498	19198
649	35554	19144
650	35598	19084
651	35646	19026
652	35695	18968
653	35755	18916
654	35806	18859
655	35856	18802
656	35904	18744
657	35960	18690
658	36009	18633
659	36053	18573
660	36102	18515
661	36152	18458
662	36208	18404
663	36258	18347
664	36310	18291
665	36359	18234
666	36405	18175
667	36459	18120
668	36513	18065
669	36561	18007
670	36609	17949
671	36663	17895
672	36717	17840
673	36764	17782
674	36811	17724
675	36859	17666
676	36912	17611
677	36964	17555
678	37012	17497
679	37129	17472
680	37180	17416
681	37237	17362
682	37283	17304
683	37340	17250
684	37401	17199
685	37449	17141
686	37496	17083
687	37549	17028
688	37600	16971
689	37646	16913
690	37696	16857
691	37742	16798
692	37796	16744
693	37851	16689
694	37902	16633
695	37945	16574
696	37984	16512
697	38024	16451
698	38072	16394
699	38112	16334
700	38162	16277
701	38221	16225
702	38266	16166
703	38318	16111
704	38369	16055
705	38417	15998
706	38457	15938
707	38517	15885
708	38567	15829
709	38618	15773
710	38664	15715
711	38714	15659
712	38763	15603
713	38813	15547
714	38862	15490
715	38906	15432
716	38965	15379
717	39018	15324
718	39078	15272
719	39119	15213
720	39171	15157
721	39232	15106
722	39278	15048
723	39322	14990
724	39377	14936
725	39432	14882
726	39481	14826
727	39532	14770
728	39582	14714
729	39647	14664
730	39698	14608
731	39740	14549
732	39787	14492
733	39838	14437
734	39892	14383
735	39943	14327
736	39996	14272
737	40047	14217
738	40101	14162
739	40151	14107
740	40195	14049
741	40248	13994
742	40295	13938
743	40346	13882
744	40394	13826
745	40443	13770
746	40493	13714
747	40542	13658
748	40601	13606
749	40659	13553
750	40715	13499
751	40772	13446
752	40829	13392
753	40885	13339
754	40932	13282
755	41032	13243
756	41087	13189
757	41152	13138
758	41212	13086
759	41260	13029
760	41312	12974
761	41361	12918
762	41415	12864
763	41470	12810
764	41517	12753
765	41576	12700
766	41632	12647
767	41689	12593
768	41744	12539
769	41807	12487
770	41865	12434
771	41920	12380
772	41972	12325
773	42029	12272
774	42086	12218
775	42144	12165
776	42194	12109
777	42251	12056
778	42307	12002
779	42360	11947
780	42410	11892
781	42466	11838
782	42522	11784
783	42584	11732
784	42640	11678
785	42708	11628
786	42762	11573
787	42815	11519
788	42875	11465
789	42932	11412
790	42993	11359
791	43056	11307
792	43119	11255
793	43178	11202
794	43230	11147
795	43286	11093
796	43329	11036
797	43383	10981
798	43440	10928
799	43496	10874
800	43554	10820
801	43606	10765
802	43667	10713
803	43718	10657
804	43778	10604
805	43833	10550
806	43893	10497
807	43950	10443
808	44018	10392
809	44071	10337
810	44121	10282
811	44176	10228
812	44222	10171
813	44266	10114
814	44316	10059
815	44375	10006
816	44431	9952
817	44492	9899
818	44549	9845
819	44602	9790
820	44664	9737
821	44711	9681
822	44761	9626
823	44823	9573
824	44880	9520
825	44929	9464
826	44987	9410
827	45037	9355
828	45093	9301
829	45141	9245
830	45189	9190
831	45235	9134
832	45285	9078
833	45345	9025
834	45392	8969
835	45440	8914
836	45490	8858
837	45538	8803
838	45590	8748
839	45641	8693
840	45691	8638
841	45743	8583
842	45798	8529
843	45847	8474
844	45898	8419
845	45946	8363
846	45999	8309
847	46053	8254
848	46109	8200
849	46155	8145
850	46205	8089
851	46257	8035
852	46305	7979
853	46349	7923
854	46392	7867
855	46444	7813
856	46495	7758
857	46549	7703
858	46602	7649
859	46655	7595
860	46699	7539
861	46758	7485
862	46804	7430
863	46850	7374
864	46898	7319
865	46951	7265
866	47004	7210
867	47055	7155
868	47107	7101
869	47154	7046
870	47202	6990
871	47259	6937
872	47310	6882
873	47358	6827
874	47409	6772
875	47455	6717
876	47511	6663
877	47565	6609
878	47618	6555
879	47673	6500
880	47725	6446
881	47776	6391
882	47830	6337
883	47881	6283
884	47943	6229
885	47996	6175
886	48050	6121
887	48105	6067
888	48160	6013
889	48217	5959
890	48270	5905
891	48320	5850
892	48430	5803
893	48500	5750
894	48556	5696
895	48609	5642
896	48668	5588
897	48719	5533
898	48779	5480
899	48830	5425
900	48880	5370
901	48931	5316
902	48980	5261
903	49032	5207
904	49079	5152
905	49131	5097
906	49176	5042
907	49227	4987
908	49309	4936
909	49366	4882
910	49413	4827
911	49468	4773
912	49516	4718
913	49571	4664
914	49626	4610
915	49682	4556
916	49730	4501
917	49784	4447
918	49840	4392
919	49893	4338
920	49944	4284
921	49997	4229
922	50055	4175
923	50108	4121
924	50158	4066
925	50206	4012
926	50269	3958
927	50318	3904
928	50367	3849
929	50416	3794
930	50465	3740
931	50515	3685
932	50567	3631
933	50618	3576
934	50688	3523
935	50744	3469
936	50802	3415
937	50858	3361
938	50919	3307
939	50983	3254
940	51035	3199
941	51088	3145
942	51141	3091
943	51197	3037
944	51250	2982
945	51304	2928
946	51361	2874
947	51413	2820
948	51472	2766
949	51539	2712
950	51594	2658
951	51640	2603
952	51702	2549
953	51753	2495
954	51802	2440
955	51856	2386
956	51918	2332
957	51971	2278
958	52024	2224
959	52084	2170
